Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tip,Additional Charges,Trip Total,Shared Trip Authorized,Trips Pooled,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid Location
8659fc186613ecbe218da20b702cdcc60ea05df7,08/31/2022 12:00:00 AM,08/31/2022 01:00:00 AM,3034,37.7,,17031081403,,8,47.5,12,2.53,62.03,false,1,,,,41.8909220259,-87.6188683546,POINT (-87.6188683546 41.8909220259)
074513efb87f05db3cffcefe7fad441241071792,08/31/2022 12:00:00 AM,08/31/2022 12:30:00 AM,941,6.9,,,6,33,10,0,5.48,15.48,false,1,41.9442266014,-87.6559981815,POINT (-87.6559981815 41.9442266014),41.8571838585,-87.6203346241,POINT (-87.6203346241 41.8571838585)
0c67c60f6e25dbf4a5acb7ffc251e78706748d9a,08/31/2022 12:00:00 AM,08/31/2022 12:30:00 AM,1747,15.3,,,76,77,55,0,12.18,67.18,false,1,41.9802643146,-87.913624596,POINT (-87.913624596 41.9802643146),41.9867117999,-87.6634164054,POINT (-87.6634164054 41.9867117999)
13681c6bf585bfd15ab49046119236efe43d4ce9,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,884,7.1,,,33,21,10,0,4.18,14.18,false,1,41.8571838585,-87.6203346241,POINT (-87.6203346241 41.8571838585),41.9386661962,-87.7112105933,POINT (-87.7112105933 41.9386661962)
14396b881cf6f50f2c93a3a2b58a6581580689db,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,977,7.8,,,8,41,20,0,1.81,21.81,false,1,41.899602111,-87.6333080367,POINT (-87.6333080367 41.899602111),41.794090253,-87.592310855,POINT (-87.592310855 41.794090253)
180096f5cb9cac18dba4d6fcb4b11c9d0bed3ba3,08/31/2022 12:00:00 AM,08/31/2022 12:00:00 AM,507,2.6,,,15,25,7.5,0,1.81,9.31,false,1,41.9540276487,-87.7633990316,POINT (-87.7633990316 41.9540276487),41.8906088526,-87.7560467111,POINT (-87.7560467111 41.8906088526)
1a0f96adb00436b8a9b850d744a68e8d4fa513d4,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,737,4.3,,,25,23,7.5,0,3.5,11,false,1,41.8906088526,-87.7560467111,POINT (-87.7560467111 41.8906088526),41.9000696026,-87.7209182385,POINT (-87.7209182385 41.9000696026)
207c1a2006b5d4cff186752ab2c30326bd84512b,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,551,3.5,,,20,19,10,0,1.81,11.81,false,1,41.9243470769,-87.7347397536,POINT (-87.7347397536 41.9243470769),41.9272609555,-87.7655016086,POINT (-87.7655016086 41.9272609555)
2580561cd77859ff4d56960fb83072ae1ace3db1,08/31/2022 12:00:00 AM,08/31/2022 12:30:00 AM,1539,20.9,,,8,,37.5,0,7.64,45.14,false,1,41.899602111,-87.6333080367,POINT (-87.6333080367 41.899602111),,,
29ec3458f1f4e44afb7d07411b4ad89ed21571da,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,946,11.6,,,76,15,17.5,6,10.97,34.47,false,1,41.9802643146,-87.913624596,POINT (-87.913624596 41.9802643146),41.9540276487,-87.7633990316,POINT (-87.7633990316 41.9540276487)
3ded900445899cfe1d4a449a26196bc2d11f6dc9,08/31/2022 12:00:00 AM,08/31/2022 12:30:00 AM,1536,11.3,,,24,1,17.5,0,5.24,22.740000000000002,false,1,41.9012069941,-87.6763559892,POINT (-87.6763559892 41.9012069941),42.0096228806,-87.6701668569,POINT (-87.6701668569 42.0096228806)
444ed59ced5506e8e73ce0e79554f7f14757ab14,08/31/2022 12:00:00 AM,08/31/2022 12:30:00 AM,1181,5.7,,,8,22,12.5,0,3.84,16.34,false,1,41.899602111,-87.6333080367,POINT (-87.6333080367 41.899602111),41.9227606205,-87.6991553432,POINT (-87.6991553432 41.9227606205)
45b826fd9966b2d955749b531bcb29141cd2224e,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,279,1.0,,,57,57,5,0,2.8,7.8,true,1,41.8108790078,-87.7263633246,POINT (-87.7263633246 41.8108790078),41.8108790078,-87.7263633246,POINT (-87.7263633246 41.8108790078)
4d7685b18481b1d09e2f63f93207a04759ca7f6c,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,837,2.1,,,77,1,7.5,0,1.81,9.31,false,1,41.9867117999,-87.6634164054,POINT (-87.6634164054 41.9867117999),42.0096228806,-87.6701668569,POINT (-87.6701668569 42.0096228806)
50550562c532f9e678aff50c380b218fd9534fb4,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,603,2.9,,,16,19,7.5,0,2.74,10.24,true,1,41.9535821253,-87.7234523905,POINT (-87.7234523905 41.9535821253),41.9272609555,-87.7655016086,POINT (-87.7655016086 41.9272609555)
58056909aee36aee03d7bed595dc0fc4204da9ee,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,1078,6.0,,,6,23,10,0,3.92,13.92,false,1,41.9442266014,-87.6559981815,POINT (-87.6559981815 41.9442266014),41.9000696026,-87.7209182385,POINT (-87.7209182385 41.9000696026)
5cfc81f2eb1ebb7059206530943f89659741d01a,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,622,2.5,,,7,5,7.5,1,3.04,11.54,false,1,41.9226862843,-87.6494887289,POINT (-87.6494887289 41.9226862843),41.9477915865,-87.6838349425,POINT (-87.6838349425 41.9477915865)
6023ef28b3f166f84fdeee33a23d21b96b1fbc07,08/31/2022 12:00:00 AM,08/31/2022 12:30:00 AM,1185,7.4,,,16,77,10,3,4.69,17.69,false,1,41.9535821253,-87.7234523905,POINT (-87.7234523905 41.9535821253),41.9867117999,-87.6634164054,POINT (-87.6634164054 41.9867117999)
6b5ebe4d6732d276746a369f341ef7f9067cbdfe,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,650,6.3,,,60,24,12.5,3,1.81,17.31,false,1,41.8361501547,-87.6487879519,POINT (-87.6487879519 41.8361501547),41.9012069941,-87.6763559892,POINT (-87.6763559892 41.9012069941)
006868d0af15aa30c77fb1d9d30eff64a704a992,08/31/2022 12:00:00 AM,08/31/2022 12:30:00 AM,1551,18.6,17031980000,17031081403,76,8,72.5,0,5.55,78.05,false,1,41.9790708201,-87.9030396611,POINT (-87.9030396611 41.9790708201),41.8909220259,-87.6188683546,POINT (-87.6188683546 41.8909220259)
00f33dc38b44bb2ec90a354b07bc1109f24ffe29,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,367,1.5,,,8,7,10,0,1.81,11.81,false,1,41.899602111,-87.6333080367,POINT (-87.6333080367 41.899602111),41.9226862843,-87.6494887289,POINT (-87.6494887289 41.9226862843)
010b38c4879e62f91d6e1a02eaa05df19348bde6,08/31/2022 12:00:00 AM,08/31/2022 12:00:00 AM,668,5.4,,,76,,10,0,9.58,19.58,false,1,41.9802643146,-87.913624596,POINT (-87.913624596 41.9802643146),,,
012a6752d1f538604eecae759497aee0e11f539f,08/31/2022 12:00:00 AM,08/31/2022 12:00:00 AM,707,2.3,,,69,43,7.5,0,1.81,9.31,false,1,41.7632467988,-87.6161341112,POINT (-87.6161341112 41.7632467988),41.7615779081,-87.5727819867,POINT (-87.5727819867 41.7615779081)
01968a7147e8eb6e42339947043fd3a1104ab32f,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,717,3.3,17031032100,17031140800,3,14,7.5,0,3.23,10.73,false,1,41.9581548757,-87.6530217894,POINT (-87.6530217894 41.9581548757),41.9645069548,-87.7027334697,POINT (-87.7027334697 41.9645069548)
01c17fe65798bfdb7b635367e5f2ffd159156938,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,736,4.7,17031081800,17031310900,8,31,12.5,0,3.75,16.25,false,1,41.8932163595,-87.6378442095,POINT (-87.6378442095 41.8932163595),41.8558061709,-87.6746905879,POINT (-87.6746905879 41.8558061709)
01d7cd47adcf1a030e7ffaff847c798ae8d4df88,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,1178,12.8,,,63,23,15,0,6.05,21.05,false,1,41.795430631,-87.6964352325,POINT (-87.6964352325 41.795430631),41.9000696026,-87.7209182385,POINT (-87.7209182385 41.9000696026)
02427d7f1016ba5d6eab27a3db76549800664e10,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,350,2.2,,,20,15,7.5,0,1.81,9.31,false,1,41.9243470769,-87.7347397536,POINT (-87.7347397536 41.9243470769),41.9540276487,-87.7633990316,POINT (-87.7633990316 41.9540276487)
024c0957571ae8596cd2db051e344e2f775b5436,08/31/2022 12:00:00 AM,08/31/2022 12:00:00 AM,467,2.1,,,1,2,5,0,2.94,7.94,false,1,42.0096228806,-87.6701668569,POINT (-87.6701668569 42.0096228806),42.001571027,-87.6950125892,POINT (-87.6950125892 42.001571027)
034784a5aca5945c7a3a5673e17635a6ebbba143,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,1193,5.0,17031220400,17031032100,22,3,12.5,5,1.81,19.31,false,1,41.9284315635,-87.6999685912,POINT (-87.6999685912 41.9284315635),41.9581548757,-87.6530217894,POINT (-87.6530217894 41.9581548757)
036c01ee95a7981b5e09e4acef44579f6c8230a6,08/31/2022 12:00:00 AM,08/31/2022 12:30:00 AM,1386,13.8,,,76,3,27.5,8,10.86,46.36,false,1,41.9802643146,-87.913624596,POINT (-87.913624596 41.9802643146),41.96581197,-87.6558787862,POINT (-87.6558787862 41.96581197)
037d93db06494010d558d9222f81e0468b9e2cd1,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,860,8.8,,,28,15,22.5,0,1.81,24.31,false,1,41.874005383,-87.6635175498,POINT (-87.6635175498 41.874005383),41.9540276487,-87.7633990316,POINT (-87.7633990316 41.9540276487)
03b176ae977cca6df09171de088d8ca9290644c2,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,304,0.7,17031081700,17031081500,8,8,7.5,0,1.81,9.31,false,1,41.8920421365,-87.6318639497,POINT (-87.6318639497 41.8920421365),41.8925077809,-87.6262149064,POINT (-87.6262149064 41.8925077809)
0425eb8ce5194d9cc74556c2ec0f76078305d125,08/31/2022 12:00:00 AM,08/31/2022 12:00:00 AM,274,1.2,,,5,21,5,0,3.3,8.3,false,1,41.9477915865,-87.6838349425,POINT (-87.6838349425 41.9477915865),41.9386661962,-87.7112105933,POINT (-87.7112105933 41.9386661962)
044cc3dfe6b2f19245b8d6f4513ede1088317882,08/31/2022 12:00:00 AM,08/31/2022 12:00:00 AM,353,1.2,17031839000,17031281900,32,28,5,0,2.91,7.91,false,1,41.8710158803,-87.6314065252,POINT (-87.6314065252 41.8710158803),41.8792550844,-87.642648998,POINT (-87.642648998 41.8792550844)
04daf5c4f8a42fb7aca4641e14927615719ea076,08/31/2022 12:00:00 AM,08/31/2022 12:45:00 AM,2219,18.7,,,44,66,20,0,7.6,27.6,false,1,41.7402057565,-87.6159695226,POINT (-87.6159695226 41.7402057565),41.7718485152,-87.695666342,POINT (-87.695666342 41.7718485152)
051d3448db9e6f28693d5c76267da47c270b54c4,08/31/2022 12:00:00 AM,08/31/2022 12:00:00 AM,316,2.1,17031081800,17031241400,8,24,7.5,0,2.94,10.44,false,1,41.8932163595,-87.6378442095,POINT (-87.6378442095 41.8932163595),41.906025969,-87.6753116216,POINT (-87.6753116216 41.906025969)
0585f9c8936b79bbf01908320b38411b6b6005e4,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,1285,11.8,17031050600,17031770700,5,,15,0,5.37,20.37,false,1,41.9505456965,-87.6761824959,POINT (-87.6761824959 41.9505456965),41.9827750091,-87.8773053996,POINT (-87.8773053996 41.9827750091)
05bdf2c9f3005b2af7583caac6b73616445dd919,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,748,3.7,,,44,46,7.5,0,4.66,12.16,false,1,41.7402057565,-87.6159695226,POINT (-87.6159695226 41.7402057565),41.7412427285,-87.551428197,POINT (-87.551428197 41.7412427285)
061a541b99c36dfb63cfec3115249931c7390c92,08/31/2022 12:00:00 AM,08/31/2022 12:00:00 AM,280,2.0,17031280100,17031081500,28,8,7.5,0,1.81,9.31,false,1,41.8853000224,-87.6428084655,POINT (-87.6428084655 41.8853000224),41.8925077809,-87.6262149064,POINT (-87.6262149064 41.8925077809)
061d33038146136f720137d0a0c720a01bd6e440,08/31/2022 12:00:00 AM,08/31/2022 12:45:00 AM,2590,26.7,,,2,,32.5,6,9.82,48.32,false,1,42.001571027,-87.6950125892,POINT (-87.6950125892 42.001571027),,,
063fae0f64039324915c00b934644ccaa4eb812b,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,741,3.7,,,63,30,10,0,3.35,13.35,false,1,41.795430631,-87.6964352325,POINT (-87.6964352325 41.795430631),41.8390869059,-87.714003807,POINT (-87.714003807 41.8390869059)
064c39bce958f90ee6cbc9c60f968f503360e3d2,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,635,2.4,,,6,7,10,0,3.42,13.42,false,1,41.9442266014,-87.6559981815,POINT (-87.6559981815 41.9442266014),41.9226862843,-87.6494887289,POINT (-87.6494887289 41.9226862843)
06cee1c0e781a128d5df6a943527d15c1c3e6893,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,981,10.8,17031280100,17031010501,28,1,20,6,5.12,31.12,false,1,41.8853000224,-87.6428084655,POINT (-87.6428084655 41.8853000224),42.0094125471,-87.6639582144,POINT (-87.6639582144 42.0094125471)
073718e49e84c40a88773d048b2dd067f21a70aa,08/31/2022 12:00:00 AM,08/31/2022 12:00:00 AM,172,0.7,,,62,62,2.5,0,3.47,5.970000000000001,false,1,41.7929819032,-87.7242081939,POINT (-87.7242081939 41.7929819032),41.7929819032,-87.7242081939,POINT (-87.7242081939 41.7929819032)
07406e041636eb2b0e48365cf4650893d49acaf4,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,1393,9.3,,,32,42,22.5,4,1.81,28.31,false,1,41.8788655841,-87.6251921424,POINT (-87.6251921424 41.8788655841),41.7788768603,-87.5949254391,POINT (-87.5949254391 41.7788768603)
078940ccb5650fb3b8470e460f6d49ec82eee8c6,08/31/2022 12:00:00 AM,08/31/2022 12:00:00 AM,324,1.6,17031080300,17031241600,8,24,5,0,2.91,7.91,false,1,41.9074919303,-87.6357600901,POINT (-87.6357600901 41.9074919303),41.9066507664,-87.6653376596,POINT (-87.6653376596 41.9066507664)
07cade429d2e92c975296e5d3c6f7e02f5c7a9cb,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,1027,9.4,,,76,17,22.5,7,10.52,40.019999999999996,false,1,41.9802643146,-87.913624596,POINT (-87.913624596 41.9802643146),41.9465114202,-87.8060200025,POINT (-87.8060200025 41.9465114202)
082583e132e7a73e5c6c7924309f2bd37108d497,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,1252,6.5,,,24,77,12.5,0,4.04,16.54,false,1,41.9012069941,-87.6763559892,POINT (-87.6763559892 41.9012069941),41.9867117999,-87.6634164054,POINT (-87.6634164054 41.9867117999)
08f2585d9d3cc55ec1cc3f0c4dc00e29323a36d9,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,199,0.5,,,77,77,2.5,1,2.91,6.41,false,1,41.9867117999,-87.6634164054,POINT (-87.6634164054 41.9867117999),41.9867117999,-87.6634164054,POINT (-87.6634164054 41.9867117999)
08fb24f26475aec5b1eb1ae79ea485a1dea84d6a,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,892,9.3,,,8,42,20,6,4.73,30.73,false,1,41.899602111,-87.6333080367,POINT (-87.6333080367 41.899602111),41.7788768603,-87.5949254391,POINT (-87.5949254391 41.7788768603)
0959fb3b39aea5ef341bc5eeebedbb73adb9d5ba,08/31/2022 12:00:00 AM,08/31/2022 01:00:00 AM,3014,41.6,,,76,,82.5,0,9.33,91.83,false,1,41.9802643146,-87.913624596,POINT (-87.913624596 41.9802643146),,,
09cf830d3d16a2a6115bab9ff305d728d7de7cff,08/31/2022 12:00:00 AM,08/31/2022 12:00:00 AM,270,1.4,,,19,19,5,0,2.95,7.95,false,1,41.9272609555,-87.7655016086,POINT (-87.7655016086 41.9272609555),41.9272609555,-87.7655016086,POINT (-87.7655016086 41.9272609555)
0a2cfed0fe36c83433a1238455eebe841190e5f5,08/31/2022 12:00:00 AM,08/31/2022 12:00:00 AM,386,4.0,,,33,38,7.5,0,1.81,9.31,false,1,41.8571838585,-87.6203346241,POINT (-87.6203346241 41.8571838585),41.8129489392,-87.6178596758,POINT (-87.6178596758 41.8129489392)
0a96fd79468910316eed3978c2c7f36b6ad84ba5,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,734,6.7,17031081402,17031031200,8,3,15,0,4.1,19.1,false,1,41.8919715078,-87.6129454143,POINT (-87.6129454143 41.8919715078),41.9727095466,-87.6573411073,POINT (-87.6573411073 41.9727095466)
0a9fcfb416b9f0b3be1b85f6635abb7314ba61f5,08/31/2022 12:00:00 AM,08/31/2022 12:30:00 AM,1039,5.9,,,57,,12.5,0,1.81,14.31,false,1,41.8108790078,-87.7263633246,POINT (-87.7263633246 41.8108790078),,,
0b396505e6622d94195a4168bb52406d2a4b3304,08/31/2022 12:00:00 AM,08/31/2022 12:30:00 AM,1548,18.6,17031280100,,28,,35,0,7.06,42.06,false,1,41.8853000224,-87.6428084655,POINT (-87.6428084655 41.8853000224),,,
0bce5b7cb7554f87dc0af1fea1440c73398a7969,08/31/2022 12:00:00 AM,08/31/2022 12:15:00 AM,836,3.6,,,8,31,15,0,1.81,16.81,false,1,41.899602111,-87.6333080367,POINT (-87.6333080367 41.899602111),41.8502663663,-87.667569312,POINT (-87.667569312 41.8502663663)
0c3406ac3905e06286ac6de604ce88033a879fbf,08/31/2022 12:00:00 AM,08/31/2022 12:00:00 AM,445,1.5,17031081201,17031071500,8,7,5,0,3.41,8.41,false,1,41.8991556134,-87.6262105324,POINT (-87.6262105324 41.8991556134),41.9146162864,-87.6317173661,POINT (-87.6317173661 41.9146162864)
